onset	duration	trial_type	response_time	stim_file
0.0	14.0	fixation	NA	NA
14.0	18.0	sentences	NA	NA
32.0	18.0	nonwords	NA	NA
50.0	18.0	nonwords	NA	NA
68.0	18.0	sentences	NA	NA
86.0	14.0	fixation	NA	NA
100.0	18.0	nonwords	NA	NA
118.0	18.0	sentences	NA	NA
136.0	18.0	nonwords	NA	NA
154.0	18.0	sentences	NA	NA
172.0	14.0	fixation	NA	NA
186.0	18.0	sentences	NA	NA
204.0	18.0	nonwords	NA	NA
222.0	18.0	sentences	NA	NA
240.0	18.0	nonwords	NA	NA
258.0	14.0	fixation	NA	NA
272.0	18.0	nonwords	NA	NA
290.0	18.0	sentences	NA	NA
308.0	18.0	sentences	NA	NA
326.0	18.0	nonwords	NA	NA
344.0	14.0	fixation	NA	NA
