onset	duration	trial_type	response_time	stim_file
0.0	16.0	fixation	NA	NA
16.0	16.0	scrambled_objects	NA	NA
32.0	16.0	faces	NA	NA
48.0	16.0	objects	NA	NA
64.0	16.0	scenes	NA	NA
80.0	16.0	fixation	NA	NA
96.0	16.0	objects	NA	NA
112.0	16.0	scrambled_objects	NA	NA
128.0	16.0	scenes	NA	NA
144.0	16.0	faces	NA	NA
160.0	16.0	fixation	NA	NA
176.0	16.0	faces	NA	NA
192.0	16.0	scenes	NA	NA
208.0	16.0	scrambled_objects	NA	NA
224.0	16.0	objects	NA	NA
240.0	16.0	fixation	NA	NA
256.0	16.0	scenes	NA	NA
272.0	16.0	objects	NA	NA
288.0	16.0	faces	NA	NA
304.0	16.0	scrambled_objects	NA	NA
320.0	16.0	fixation	NA	NA
